# of Boards,30,,,,,,,,,,
REFERENCE,VALUE,DISTRIBUTOR,DISTRIBUTOR #,QUANTITY per Board,Total Quantity,Unit Cost (w/ Price Breaks),Total Cost (per board),Digikey Ea,Digikey Total,Our total,Diff
BT1,BATTERY,Digikey,SBH321AS-ND,1,30,1.64,1.64,1.998,$59.94,$49.20,$10.74
"C1, C6",10uF,Digikey,399-6100-ND,2,60,0.114,0.228,0.0646,$3.88,$6.84,-$2.96
"C2,C3,C4,C5",.1uF,Digikey,BC2665CT-ND,4,120,0.07072,0.28288,0.0984,$11.81,$8.49,$3.32
D1,LED GREEN 3MM,Digikey,754-1217-ND,1,30,0.0808,0.0808,0.0808,$2.42,$2.42,$0.00
 D2,AMBIENT LIGHT SENSOR 3MM 570NM,Digikey,751-1057-ND,1,30,0.4804,0.4804,0.4804,$14.41,$14.41,$0.00
"D3, D4, D5, D6, D7, D8, D9. D10",RED LED 3mm,Digikey,754-1219-ND,8,240,0.0675,0.54,0.0743,$17.83,$16.20,$1.63
IC1,ATMEGA328P,Digikey,ATMEGA328P-PU-ND,1,30,0,0,1.9832,$59.5,$0.00,$59.50
IC1-SOCKET,"28 Pin .3"" PDIP Socket",Digikey,A100210-ND,1,30,0.411,0.411,0.411,$12.33,$12.33,$0.00
J1,AVR-ISP-6 (2x3 .1” header),Digikey,952-1921-ND,1,30,0.234,0.234,0.234,$7.02,$7.02,$0.00
J2,"CONN JACK STEREO R/A 3PIN 3.5MM

",Digikey,CP1-3523N-ND,1,30,0.58,0.58,0.588,$17.64,$17.40,$0.24
R1,"220 Ohm 1/4"" Mini",Digikey,S220QCT-ND,1,30,0.055,0.055,0.055,$1.65,$1.65,$0.00
"R2,R3,R6","100K Ohm 1/4"" Mini",Digikey,S100KQTR-ND,3,90,0.03,0.09,0.03,$2.7,$2.70,$0.00
R4,"10K Ohm 1/4"" Mini",Digikey,S10KQTR-ND,1,30,0.055,0.055,0.055,$1.65,$1.65,$0.00
"R5, R9","47K Ohm 1/4"" Mini",Digikey,S47KQTR-ND,2,60,0.055,0.11,0.03,$1.8,$3.30,-$1.50
"R7,R8","1K Ohm 1/4"" Mini",Digikey,S1KQTR-ND,3,90,0.03,0.09,0.03,$2.7,$2.70,$0.00
RV1,1K Thumbwheel Pot,Digikey,3352T-1-102LF,1,30,1.395,1.395,1.1664,$34.99,$41.85,-$6.86
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10",SWITCH_PUSH_CW,Digikey,CKN9140-ND,10,300,0.2794,2.794,0.3588,$107.64,$83.82,$23.82
U1,MCP4921,Digikey,MCP4921-E/P-ND,1,30,1.97,1.97,1.64,$49.2,$59.10,-$9.90
U1-SOCKET,"8 pin .3"" PDIP Socket",Digikey,A100204-ND,1,30,0.18,0.18,0.181,$5.43,$5.40,$0.03
STANDOFFS,"STANDOFF RD 4-40THR .750""L ALUM",Digikey,3481K-ND,4,120,0.3244,1.2976,0.3034,$36.41,$38.93,-$2.52
,,,,,,,,,,,
Total (per Board),12.51368,,,,,,,,,,
Total,375.4104,,,,,,,,$450.95,$375.41,$75.5396
