"REFERENCE","VALUE","DISTRIBUTOR","DISTRIBUTOR #","QUANTITY per Board","Unit Cost (at quantity 50)"
"SW2. SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11","Momentary On Pushbutton","Mouser","611-PTS125SM85-LFS",10,$0.20
"SP1","SPEAKER","Digikey","102-2502-ND",1,$1.81
"IC1","ATMEGA328P","Mouser","ATMEGA328P-PU-ND",1,$1.95
"U1","MCP4921","Mouser","MCP4921-E/P-ND",1,$1.64
"RV1","1K","Mouser","652-3352T-1-102LF",1,$0.97
"U2","TDA2822M","Digikey","497-8863-5-ND",1,$1.29
"BT1","BATTERY","Mouser","12BH325/CS-GR",1,$1.11
"STANDOFFS","STANDOFF RD 4-40THR .750""L ALUM","Mouser","761-2061-440-AL-7 ",4,$0.27
"D3, D4, D5, D6, D7, D8, D9. D10","LED","Digikey","754-1264-ND",8,$0.08
"C1, C5, C6, C7, C8, C11, C12, C13, C14",".1uF","Digikey","BC2665CT-ND",9,$0.05
"J1","USB B PTH","Mouser","737-USB-B-S-RA",1,$0.49
"X1","16MHz","Digikey","631-1108-ND",1,$0.38
"C2,C3","22pF","Mouser","140-50N2-220J-RC",2,$0.08
"D1, D2","3V6","Digikey","568-7951-1-ND",2,$0.08
"C9",".01uF","Digikey","478-4862-ND",1,$0.19
"C10","10uF","Digikey","399-6100-ND",1,$0.06
"R2, R3",68,"Digikey","S68QCT-ND",2,$0.02
"R9","100k","Digikey","S100KQCT-ND",2,$0.02
"R12, R13","1K","Digikey","S1KQCT-ND",2,$0.02
"R15, R16",4.7,"Digikey","S4.7QCT-ND",2,$0.02
"R1","2.2K","Digikey","S2.2KQCT-ND",1,$0.03
"R4","36K","Mouser","660-MF1/4DC5361F",1,$0.06
"R11","47K","Digikey","S47KQCT-ND",1,$0.03
"R8","10K","Digikey","S10KQCT-ND",1,$0.03
"R10","TEPT4400","Mouser","782-TEPT4400",1,$0.54
"R14","1.5k","Digikey","S1.5KQCT-ND",1,$0.03
"IC1 SOCKET","28PDIP Socket","Mouser","571-1-390262-2",1,0.35
"J2","AVR-ISP-6 (2x3 .1” header)","stock?","stock?",1,0
